Analyzing belive...                                             

  error - The method 'uploadChatImage' isn't defined for the type 'ApiService' - lib\screens\chat\chat_screen.dart:888:36 - undefined_method
  error - The method 'uploadChatImage' isn't defined for the type 'ApiService' - lib\screens\chat\chat_screen.dart:1027:36 - undefined_method
  error - The method 'uploadChatImage' isn't defined for the type 'ApiService' - lib\screens\chat\chat_screen.dart:1125:36 - undefined_method
  error - The method 'starMessage' isn't defined for the type 'ApiService' - lib\screens\chat\chat_screen.dart:1237:36 - undefined_method
  error - The method 'deleteChat' isn't defined for the type 'ApiService' - lib\screens\chat\chat_screen.dart:1252:36 - undefined_method
  error - The method 'muteChat' isn't defined for the type 'ApiService' - lib\screens\chat\chat_screen.dart:1491:36 - undefined_method
  error - The method 'clearChat' isn't defined for the type 'ApiService' - lib\screens\chat\chat_screen.dart:1518:36 - undefined_method
  error - The method 'reportUser' isn't defined for the type 'ApiService' - lib\screens\chat\chat_screen.dart:1575:24 - undefined_method
  error - The method 'blockOrUnblockUser' isn't defined for the type 'ApiService' - lib\screens\chat\chat_screen.dart:1603:36 - undefined_method
warning - Unused import: 'dart:io' - lib\screens\chat\family_chat_screen.dart:3:8 - unused_import
warning - Unused import: 'package:cached_network_image/cached_network_image.dart' - lib\screens\chat\family_chat_screen.dart:5:8 - unused_import
warning - Unused import: 'package:fluttertoast/fluttertoast.dart' - lib\screens\chat\family_chat_screen.dart:7:8 - unused_import
   info - Use 'const' with the constructor to improve performance - lib\screens\chat\family_chat_screen.dart:248:13 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\screens\chat\family_chat_screen.dart:256:20 - prefer_const_constructors
   info - Use 'const' with the constructor to improve performance - lib\screens\chat\family_chat_screen.dart:258:28 - prefer_const_constructors
  error - The method 'followerList' isn't defined for the type 'ApiService' - lib\screens\chat\message_hub_screen.dart:55:38 - undefined_method
  error - The method 'getReelComments' isn't defined for the type 'ApiService' - lib\screens\comments\comments_screen.dart:89:40 - undefined_method
  error - The method 'getComments' isn't defined for the type 'ApiService' - lib\screens\comments\comments_screen.dart:94:40 - undefined_method
  error - The method 'getReelLikes' isn't defined for the type 'ApiService' - lib\screens\comments\comments_screen.dart:102:40 - undefined_method
  error - The method 'getLikes' isn't defined for the type 'ApiService' - lib\screens\comments\comments_screen.dart:107:40 - undefined_method
  error - The method 'getReelComments' isn't defined for the type 'ApiService' - lib\screens\comments\comments_screen.dart:130:40 - undefined_method
  error - The method 'getComments' isn't defined for the type 'ApiService' - lib\screens\comments\comments_screen.dart:133:40 - undefined_method
  error - The method 'getReelLikes' isn't defined for the type 'ApiService' - lib\screens\comments\comments_screen.dart:139:40 - undefined_method
  error - The method 'getLikes' isn't defined for the type 'ApiService' - lib\screens\comments\comments_screen.dart:142:40 - undefined_method
  error - The method 'addComment' isn't defined for the type 'ApiService' - lib\screens\comments\comments_screen.dart:180:36 - undefined_method
  error - The method 'getComplaints' isn't defined for the type 'ApiService' - lib\screens\complaints\complaint_detail_screen.dart:35:36 - undefined_method
  error - The method 'getComplaints' isn't defined for the type 'ApiService' - lib\screens\complaints\complaint_list_screen.dart:57:36 - undefined_method
  error - The method 'createComplaint' isn't defined for the type 'ApiService' - lib\screens\complaints\complaints_screen.dart:57:36 - undefined_method
  error - The method 'getFriendship' isn't defined for the type 'ApiService' - lib\screens\cp\friend_detail_screen.dart:40:36 - undefined_method
  error - The named parameter 'welcomeMessage' isn't defined - lib\screens\family\create_family_screen.dart:78:9 - undefined_named_parameter
  error - The named parameter 'welcomeMessage' isn't defined - lib\screens\family\family_create_honor_screen.dart:71:9 - undefined_named_parameter
   info - The import of 'package:flutter/services.dart' is unnecessary because all of the used elements are also provided by the import of 'package:flutter/material.dart' - lib\screens\family\family_detail_screen.dart:7:8 - unnecessary_import
warning - Unused import: 'package:share_plus/share_plus.dart' - lib\screens\family\family_detail_screen.dart:12:8 - unused_import
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\screens\family\family_detail_screen.dart:188:148 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\screens\family\family_detail_screen.dart:226:60 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\screens\family\family_detail_screen.dart:261:52 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\screens\family\family_detail_screen.dart:262:55 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\screens\family\family_detail_screen.dart:298:53 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\screens\family\family_detail_screen.dart:298:145 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\screens\family\family_detail_screen.dart:305:60 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\screens\family\family_detail_screen.dart:314:150 - deprecated_member_use
   info - Use 'const' with the constructor to improve performance - lib\screens\family\family_detail_screen.dart:332:20 - prefer_const_constructors
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\screens\family\family_detail_screen.dart:350:46 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\screens\family\family_detail_screen.dart:360:67 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\screens\family\family_detail_screen.dart:360:109 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\screens\family\family_detail_screen.dart:390:58 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\screens\family\family_detail_screen.dart:399:53 - deprecated_member_use
   info - Use 'const' with the constructor to improve performance - lib\screens\family\family_detail_screen.dart:404:20 - prefer_const_constructors
   info - Use 'const' literals as arguments to constructors of '@immutable' classes - lib\screens\family\family_detail_screen.dart:405:25 - prefer_const_literals_to_create_immutables
  error - The method 'UserAvatar' isn't defined for the type '_FamilyDetailScreenState' - lib\screens\family\family_detail_screen.dart:419:40 - undefined_method
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\screens\family\family_detail_screen.dart:431:53 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\screens\family\family_detail_screen.dart:451:57 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\screens\family\family_detail_screen.dart:451:159 - deprecated_member_use
   info - Don't use 'BuildContext's across async gaps - lib\screens\family\family_detail_screen.dart:481:24 - use_build_context_synchronously
  error - The name 'FamilyProvider' isn't a type, so it can't be used as a type argument - lib\screens\family\family_detail_screen.dart:494:42 - non_type_as_type_argument
   info - Don't use 'BuildContext's across async gaps - lib\screens\family\family_detail_screen.dart:525:45 - use_build_context_synchronously
   info - Use 'const' with the constructor to improve performance - lib\screens\family\family_detail_screen.dart:538:59 - prefer_const_constructors
   info - Don't use 'BuildContext's across async gaps - lib\screens\family\family_detail_screen.dart:554:45 - use_build_context_synchronously
   info - Don't use 'BuildContext's across async gaps - lib\screens\family\family_detail_screen.dart:565:37 - use_build_context_synchronously
   info - Don't use 'BuildContext's across async gaps - lib\screens\family\family_detail_screen.dart:573:37 - use_build_context_synchronously
  error - The method 'UserAvatar' isn't defined for the type '_FamilyDetailScreenState' - lib\screens\family\family_detail_screen.dart:585:20 - undefined_method
   info - Don't use 'BuildContext's across async gaps - lib\screens\family\family_detail_screen.dart:589:45 - use_build_context_synchronously
warning - Unused import: 'package:cached_network_image/cached_network_image.dart' - lib\screens\family\family_members_screen.dart:1:8 - unused_import
   info - Don't use 'BuildContext's across async gaps - lib\screens\family\family_members_screen.dart:153:7 - use_build_context_synchronously
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\screens\family\family_members_screen.dart:189:62 - deprecated_member_use
   info - 'withOpacity' is deprecated and shouldn't be used. Use .withValues() to avoid precision loss - lib\screens\family\family_members_screen.dart:212:46 - deprecated_member_use
  error - The named parameter 'userId' isn't defined - lib\screens\family\family_screen.dart:67:9 - undefined_named_parameter
